X,Y,
-165.52734375,-82.51953125,
-157.71484375,-82.51953125,
-148.92578125,-82.51953125,
-132.8125,-82.51953125,
-142.578125,-82.51953125,
-125.48828125,-82.51953125,
-174.8046875,-81.54296875,
-181.640625,-81.54296875,
-188.96484375,-80.56640625,
-199.21875,-79.58984375,
-209.47265625,-78.61328125,
-215.8203125,-77.63671875,
-222.16796875,-76.66015625,
-228.515625,-75.68359375,
-195.3125,-74.21875,
-148.4375,-75.1953125,
-115.72265625,-81.54296875,
-104.00390625,-80.56640625,
-96.6796875,-79.58984375,
-88.8671875,-78.61328125,
-82.03125,-77.63671875,
-73.2421875,-75.68359375,
-118.65234375,-74.70703125,
-129.39453125,-75.1953125,
-135.7421875,-75.1953125,
-142.08984375,-75.1953125,
-159.66796875,-74.21875,
-112.3046875,-74.21875,
-64.94140625,-73.73046875,
-103.515625,-73.2421875,
-97.16796875,-72.75390625,
-91.30859375,-71.2890625,
-54.6875,-70.80078125,
-82.51953125,-69.82421875,
-44.921875,-67.87109375,
-71.77734375,-66.89453125,
-59.08203125,-66.40625,
-35.15625,-64.94140625,
-65.4296875,-64.453125,
-50.29296875,-63.96484375,
-82.51953125,-63.4765625,
-55.17578125,-60.05859375,
-27.34375,-62.98828125,
21.484375,-62.01171875,
64.453125,-72.75390625,
111.328125,-78.61328125,
151.85546875,-78.61328125,
142.578125,-78.61328125,
118.1640625,-78.61328125,
132.32421875,-78.61328125,
125,-78.61328125,
167.48046875,-77.63671875,
161.1328125,-77.63671875,
175.78125,-76.66015625,
185.05859375,-75.68359375,
193.359375,-74.70703125,
199.70703125,-74.21875,
205.56640625,-72.75390625,
211.9140625,-71.77734375,
172.8515625,-71.2890625,
131.34765625,-71.77734375,
100.09765625,-77.63671875,
87.890625,-76.66015625,
94.23828125,-76.171875,
81.54296875,-75.68359375,
75.1953125,-74.70703125,
103.02734375,-71.2890625,
140.13671875,-71.2890625,
117.67578125,-71.2890625,
125,-71.2890625,
110.3515625,-71.2890625,
146.484375,-71.2890625,
96.6796875,-70.3125,
56.640625,-70.80078125,
50.78125,-69.3359375,
89.84375,-69.3359375,
44.921875,-67.87109375,
74.21875,-67.3828125,
80.56640625,-66.89453125,
38.0859375,-65.91796875,
62.5,-65.4296875,
68.84765625,-64.453125,
30.76171875,-63.96484375,
43.45703125,-62.01171875,
15.13671875,-61.03515625,
-17.08984375,-61.03515625,
-3.90625,-60.05859375,
5.37109375,-60.05859375,
-10.25390625,-60.05859375,
-43.45703125,-59.5703125,
-63.4765625,-58.59375,
-36.62109375,-57.6171875,
-48.33984375,-55.6640625,
-24.4140625,-55.6640625,
10.7421875,-55.17578125,
58.10546875,-61.03515625,
51.26953125,-58.10546875,
37.59765625,-58.10546875,
26.85546875,-57.6171875,
42.96875,-53.7109375,
35.15625,-52.24609375,
4.39453125,-52.24609375,
-30.2734375,-53.7109375,
19.53125,-51.26953125,
-14.6484375,-51.26953125,
-8.30078125,-51.26953125,
-43.45703125,-50.78125,
-36.62109375,-49.8046875,
-1.953125,-49.8046875,
25.390625,-49.8046875,
37.109375,-46.38671875,
-8.7890625,-44.921875,
-26.3671875,-47.8515625,
-17.578125,-44.921875,
15.13671875,-43.9453125,
5.859375,-42.96875,
-40.0390625,-42.96875,
-24.90234375,-41.9921875,
21.484375,-42.96875,
-1.953125,-41.015625,
34.66796875,-40.52734375,
26.3671875,-39.0625,
-11.23046875,-38.57421875,
-19.53125,-38.0859375,
-30.76171875,-37.59765625,
17.08984375,-36.1328125,
10.7421875,-36.1328125,
-38.57421875,-35.15625,
-3.41796875,-32.71484375,
24.4140625,-32.2265625,
3.90625,-31.73828125,
-13.18359375,-30.76171875,
33.203125,-30.76171875,
10.25390625,-28.80859375,
-24.90234375,-29.78515625,
-38.57421875,-28.80859375,
-31.25,-27.34375,
-18.06640625,-26.85546875,
19.04296875,-28.3203125,
24.90234375,-25.87890625,
14.6484375,-23.92578125,
33.203125,-22.94921875,
25.87890625,-17.578125,
-22.4609375,-19.53125,
-39.0625,-22.4609375,
-32.71484375,-19.04296875,
-39.55078125,-16.11328125,
-24.4140625,-13.18359375,
17.578125,-15.13671875,
33.69140625,-16.6015625,
27.34375,-11.71875,
34.1796875,-10.25390625,
19.53125,-8.30078125,
